STATION,NAME,LATITUDE,LONGITUDE,DATE,TAVG
UK000047811,"ARMAGH, UK",54.35,-6.65,1844,48.6
UK000047811,"ARMAGH, UK",54.35,-6.65,1845,48.2
UK000047811,"ARMAGH, UK",54.35,-6.65,1846,50.7
UK000047811,"ARMAGH, UK",54.35,-6.65,1847,49.3
UK000047811,"ARMAGH, UK",54.35,-6.65,1848,48.5
UK000047811,"ARMAGH, UK",54.35,-6.65,1849,49
UK000047811,"ARMAGH, UK",54.35,-6.65,1850,49.5
UK000047811,"ARMAGH, UK",54.35,-6.65,1851,49.2
UK000047811,"ARMAGH, UK",54.35,-6.65,1852,49.3
UK000047811,"ARMAGH, UK",54.35,-6.65,1853,47.7
UK000047811,"ARMAGH, UK",54.35,-6.65,1854,49
UK000047811,"ARMAGH, UK",54.35,-6.65,1855,47.7
UK000047811,"ARMAGH, UK",54.35,-6.65,1856,49
UK000047811,"ARMAGH, UK",54.35,-6.65,1857,50.4
UK000047811,"ARMAGH, UK",54.35,-6.65,1858,49.2
UK000047811,"ARMAGH, UK",54.35,-6.65,1859,49.4
UK000047811,"ARMAGH, UK",54.35,-6.65,1860,46.5
UK000047811,"ARMAGH, UK",54.35,-6.65,1861,48.7
UK000047811,"ARMAGH, UK",54.35,-6.65,1862,47.8
UK000047811,"ARMAGH, UK",54.35,-6.65,1863,48.6
UK000047811,"ARMAGH, UK",54.35,-6.65,1864,47.6
UK000047811,"ARMAGH, UK",54.35,-6.65,1865,49.5
UK000047811,"ARMAGH, UK",54.35,-6.65,1866,48.5
UK000047811,"ARMAGH, UK",54.35,-6.65,1867,48.4
UK000047811,"ARMAGH, UK",54.35,-6.65,1868,50
UK000047811,"ARMAGH, UK",54.35,-6.65,1869,49.1
UK000047811,"ARMAGH, UK",54.35,-6.65,1870,48.6
UK000047811,"ARMAGH, UK",54.35,-6.65,1871,49.1
UK000047811,"ARMAGH, UK",54.35,-6.65,1872,49
UK000047811,"ARMAGH, UK",54.35,-6.65,1873,48.5
UK000047811,"ARMAGH, UK",54.35,-6.65,1874,49.2
UK000047811,"ARMAGH, UK",54.35,-6.65,1875,49.4
UK000047811,"ARMAGH, UK",54.35,-6.65,1876,49
UK000047811,"ARMAGH, UK",54.35,-6.65,1877,48.4
UK000047811,"ARMAGH, UK",54.35,-6.65,1878,48.9
UK000047811,"ARMAGH, UK",54.35,-6.65,1879,46.2
UK000047811,"ARMAGH, UK",54.35,-6.65,1880,48.2
UK000047811,"ARMAGH, UK",54.35,-6.65,1881,46.3
UK000047811,"ARMAGH, UK",54.35,-6.65,1882,47.6
UK000047811,"ARMAGH, UK",54.35,-6.65,1883,46.8
UK000047811,"ARMAGH, UK",54.35,-6.65,1884,47.6
UK000047811,"ARMAGH, UK",54.35,-6.65,1885,46.7
UK000047811,"ARMAGH, UK",54.35,-6.65,1886,46.6
UK000047811,"ARMAGH, UK",54.35,-6.65,1887,47.2
UK000047811,"ARMAGH, UK",54.35,-6.65,1888,46.8
UK000047811,"ARMAGH, UK",54.35,-6.65,1889,48.1
UK000047811,"ARMAGH, UK",54.35,-6.65,1890,48
UK000047811,"ARMAGH, UK",54.35,-6.65,1891,47.4
UK000047811,"ARMAGH, UK",54.35,-6.65,1892,46.2
UK000047811,"ARMAGH, UK",54.35,-6.65,1893,49
UK000047811,"ARMAGH, UK",54.35,-6.65,1894,47.7
UK000047811,"ARMAGH, UK",54.35,-6.65,1895,46.8
UK000047811,"ARMAGH, UK",54.35,-6.65,1896,48.2
UK000047811,"ARMAGH, UK",54.35,-6.65,1897,48
UK000047811,"ARMAGH, UK",54.35,-6.65,1898,49.2
UK000047811,"ARMAGH, UK",54.35,-6.65,1899,49
UK000047811,"ARMAGH, UK",54.35,-6.65,1900,48.2
UK000047811,"ARMAGH, UK",54.35,-6.65,1901,48
UK000047811,"ARMAGH, UK",54.35,-6.65,1902,47.6
UK000047811,"ARMAGH, UK",54.35,-6.65,1903,47.9
UK000047811,"ARMAGH, UK",54.35,-6.65,1904,47.9
UK000047811,"ARMAGH, UK",54.35,-6.65,1905,48.4
UK000047811,"ARMAGH, UK",54.35,-6.65,1906,48.3
UK000047811,"ARMAGH, UK",54.35,-6.65,1907,47.7
UK000047811,"ARMAGH, UK",54.35,-6.65,1908,49.1
UK000047811,"ARMAGH, UK",54.35,-6.65,1909,47.2
UK000047811,"ARMAGH, UK",54.35,-6.65,1910,48.1
UK000047811,"ARMAGH, UK",54.35,-6.65,1911,48.8
UK000047811,"ARMAGH, UK",54.35,-6.65,1912,47.9
UK000047811,"ARMAGH, UK",54.35,-6.65,1913,48.6
UK000047811,"ARMAGH, UK",54.35,-6.65,1914,48.9
UK000047811,"ARMAGH, UK",54.35,-6.65,1915,47.4
UK000047811,"ARMAGH, UK",54.35,-6.65,1916,48.3
UK000047811,"ARMAGH, UK",54.35,-6.65,1917,47.5
UK000047811,"ARMAGH, UK",54.35,-6.65,1918,48.7
UK000047811,"ARMAGH, UK",54.35,-6.65,1919,47.2
UK000047811,"ARMAGH, UK",54.35,-6.65,1920,48.8
UK000047811,"ARMAGH, UK",54.35,-6.65,1921,50.3
UK000047811,"ARMAGH, UK",54.35,-6.65,1922,47.3
UK000047811,"ARMAGH, UK",54.35,-6.65,1923,47.9
UK000047811,"ARMAGH, UK",54.35,-6.65,1924,48.1
UK000047811,"ARMAGH, UK",54.35,-6.65,1925,47.8
UK000047811,"ARMAGH, UK",54.35,-6.65,1926,48.8
UK000047811,"ARMAGH, UK",54.35,-6.65,1927,48
UK000047811,"ARMAGH, UK",54.35,-6.65,1928,48.4
UK000047811,"ARMAGH, UK",54.35,-6.65,1929,48
UK000047811,"ARMAGH, UK",54.35,-6.65,1930,47.9
UK000047811,"ARMAGH, UK",54.35,-6.65,1931,48.2
UK000047811,"ARMAGH, UK",54.35,-6.65,1932,48.6
UK000047811,"ARMAGH, UK",54.35,-6.65,1933,49.4
UK000047811,"ARMAGH, UK",54.35,-6.65,1934,49.3
UK000047811,"ARMAGH, UK",54.35,-6.65,1935,48.6
UK000047811,"ARMAGH, UK",54.35,-6.65,1936,48.4
UK000047811,"ARMAGH, UK",54.35,-6.65,1937,48.5
UK000047811,"ARMAGH, UK",54.35,-6.65,1938,49.5
UK000047811,"ARMAGH, UK",54.35,-6.65,1939,48.8
UK000047811,"ARMAGH, UK",54.35,-6.65,1940,48.6
UK000047811,"ARMAGH, UK",54.35,-6.65,1941,48.5
UK000047811,"ARMAGH, UK",54.35,-6.65,1942,48.6
UK000047811,"ARMAGH, UK",54.35,-6.65,1943,49.8
UK000047811,"ARMAGH, UK",54.35,-6.65,1944,49.2
UK000047811,"ARMAGH, UK",54.35,-6.65,1945,50.5
UK000047811,"ARMAGH, UK",54.35,-6.65,1946,48.6
UK000047811,"ARMAGH, UK",54.35,-6.65,1947,48.4
UK000047811,"ARMAGH, UK",54.35,-6.65,1948,49.5
UK000047811,"ARMAGH, UK",54.35,-6.65,1949,50.5
UK000047811,"ARMAGH, UK",54.35,-6.65,1950,48.3
UK000047811,"ARMAGH, UK",54.35,-6.65,1951,48
UK000047811,"ARMAGH, UK",54.35,-6.65,1952,47.7
